User_Id,Session_start,Session_end,Offer_notification_click_time,Purchase_completion_time
1,2025-05-09 02:36:00,2025-05-09 03:54:00,,2025-05-09 03:02:13
2,2025-05-05 17:21:00,2025-05-05 18:37:00,2025-05-05 18:16:30,
3,2025-05-10 08:52:00,2025-05-10 09:24:00,2025-05-10 09:23:55,
4,2025-05-07 23:06:00,2025-05-08 00:32:00,,2025-05-07 23:56:20
5,2025-05-07 14:23:00,2025-05-07 15:13:00,,
6,2025-05-06 22:30:00,2025-05-06 23:31:00,2025-05-06 23:21:48,
7,2025-05-10 03:47:00,2025-05-10 05:00:00,2025-05-10 04:42:20,
8,2025-05-03 00:52:00,2025-05-03 01:47:00,,
9,2025-05-08 02:19:00,2025-05-08 03:37:00,,
10,2025-05-01 19:51:00,2025-05-01 20:32:00,,
11,2025-05-01 03:06:00,2025-05-01 03:56:00,2025-05-01 03:15:21,2025-05-01 03:55:53
12,2025-05-09 06:33:00,2025-05-09 08:02:00,,2025-05-09 06:42:58
13,2025-05-08 21:24:00,2025-05-08 22:31:00,,2025-05-08 21:42:51
14,2025-05-07 18:33:00,2025-05-07 19:48:00,2025-05-07 19:34:08,
15,2025-05-01 22:54:00,2025-05-02 00:20:00,,
16,2025-05-01 04:31:00,2025-05-01 05:44:00,,
17,2025-05-02 08:16:00,2025-05-02 09:19:00,2025-05-02 09:09:14,2025-05-02 09:15:49
18,2025-05-04 06:44:00,2025-05-04 07:04:00,2025-05-04 06:57:41,2025-05-04 06:58:21
19,2025-05-05 10:16:00,2025-05-05 10:52:00,2025-05-05 10:41:49,2025-05-05 10:36:45
20,2025-05-09 01:33:00,2025-05-09 01:53:00,,
21,2025-05-02 22:10:00,2025-05-02 23:16:00,2025-05-02 22:11:19,2025-05-02 22:34:49
22,2025-05-09 11:37:00,2025-05-09 12:39:00,,
23,2025-05-04 19:45:00,2025-05-04 21:10:00,2025-05-04 20:06:47,2025-05-04 20:08:41
24,2025-05-05 19:59:00,2025-05-05 20:52:00,,
25,2025-05-03 06:23:00,2025-05-03 07:17:00,,
26,2025-05-05 19:20:00,2025-05-05 20:16:00,2025-05-05 20:10:09,2025-05-05 20:12:57
27,2025-05-09 09:43:00,2025-05-09 10:52:00,2025-05-09 09:46:33,2025-05-09 10:00:08
28,2025-05-09 04:57:00,2025-05-09 05:29:00,2025-05-09 05:17:02,
29,2025-05-07 19:45:00,2025-05-07 21:01:00,,2025-05-07 20:59:54
30,2025-05-02 05:13:00,2025-05-02 06:28:00,2025-05-02 06:27:00,
31,2025-05-09 15:55:00,2025-05-09 16:18:00,2025-05-09 15:55:18,
32,2025-05-05 10:06:00,2025-05-05 10:32:00,2025-05-05 10:21:22,
33,2025-05-09 16:42:00,2025-05-09 17:17:00,,2025-05-09 17:14:30
34,2025-05-06 23:15:00,2025-05-07 00:45:00,,2025-05-07 00:34:14
35,2025-05-07 13:44:00,2025-05-07 15:05:00,,
36,2025-05-06 18:58:00,2025-05-06 19:20:00,,2025-05-06 19:03:25
37,2025-05-06 23:01:00,2025-05-07 00:17:00,2025-05-06 23:53:10,
38,2025-05-10 18:23:00,2025-05-10 19:46:00,2025-05-10 19:34:08,2025-05-10 19:35:09
39,2025-05-09 21:04:00,2025-05-09 22:21:00,2025-05-09 22:10:21,2025-05-09 22:11:26
40,2025-05-08 14:56:00,2025-05-08 15:24:00,2025-05-08 14:56:49,2025-05-08 15:06:48
41,2025-05-10 08:17:00,2025-05-10 09:18:00,,2025-05-10 08:57:45
42,2025-05-05 08:08:00,2025-05-05 08:28:00,2025-05-05 08:10:12,2025-05-05 08:23:02
43,2025-05-06 12:12:00,2025-05-06 13:25:00,2025-05-06 12:45:22,
44,2025-05-05 05:10:00,2025-05-05 06:35:00,,2025-05-05 05:19:12
45,2025-05-08 17:26:00,2025-05-08 18:52:00,2025-05-08 18:12:07,
46,2025-05-04 14:50:00,2025-05-04 15:49:00,,
47,2025-05-02 06:33:00,2025-05-02 07:32:00,2025-05-02 07:19:20,2025-05-02 07:21:45
48,2025-05-10 17:20:00,2025-05-10 18:00:00,2025-05-10 17:57:47,
49,2025-05-08 05:43:00,2025-05-08 07:03:00,,
50,2025-05-10 10:51:00,2025-05-10 11:47:00,2025-05-10 11:14:26,2025-05-10 11:33:02
51,2025-05-03 18:36:00,2025-05-03 19:37:00,,2025-05-03 19:30:23
52,2025-05-04 10:54:00,2025-05-04 11:33:00,2025-05-04 10:58:19,
53,2025-05-07 09:02:00,2025-05-07 10:02:00,2025-05-07 09:29:38,2025-05-07 09:50:47
54,2025-05-10 03:52:00,2025-05-10 05:00:00,2025-05-10 04:29:04,2025-05-10 04:45:12
55,2025-05-08 23:46:00,2025-05-09 01:03:00,2025-05-09 00:48:53,2025-05-09 01:01:19
56,2025-05-04 10:25:00,2025-05-04 11:52:00,,
57,2025-05-05 22:52:00,2025-05-05 23:54:00,2025-05-05 23:00:11,2025-05-05 23:29:49
58,2025-05-04 08:12:00,2025-05-04 09:04:00,,2025-05-04 08:29:43
59,2025-05-04 16:11:00,2025-05-04 16:33:00,2025-05-04 16:30:30,2025-05-04 16:15:30
60,2025-05-06 09:35:00,2025-05-06 10:54:00,,2025-05-06 09:38:17
61,2025-05-10 23:15:00,2025-05-10 23:59:00,2025-05-10 23:37:58,
62,2025-05-01 23:10:00,2025-05-02 00:01:00,2025-05-01 23:17:21,2025-05-01 23:28:19
63,2025-05-07 11:10:00,2025-05-07 11:41:00,,2025-05-07 11:24:27
64,2025-05-06 13:09:00,2025-05-06 13:29:00,2025-05-06 13:17:32,
65,2025-05-05 13:18:00,2025-05-05 14:42:00,2025-05-05 14:37:52,2025-05-05 14:37:58
66,2025-05-08 18:04:00,2025-05-08 19:27:00,2025-05-08 18:50:48,
67,2025-05-04 11:01:00,2025-05-04 12:05:00,2025-05-04 11:42:33,
68,2025-05-08 22:43:00,2025-05-08 23:26:00,2025-05-08 22:52:10,2025-05-08 23:20:52
69,2025-05-06 15:10:00,2025-05-06 15:31:00,,
70,2025-05-04 20:15:00,2025-05-04 21:18:00,2025-05-04 20:28:53,
71,2025-05-01 07:57:00,2025-05-01 08:43:00,2025-05-01 08:12:47,2025-05-01 08:14:49
72,2025-05-04 15:30:00,2025-05-04 16:48:00,2025-05-04 16:37:10,2025-05-04 16:43:18
73,2025-05-02 23:03:00,2025-05-03 00:15:00,,2025-05-02 23:44:50
74,2025-05-03 18:26:00,2025-05-03 19:05:00,,
75,2025-05-01 03:42:00,2025-05-01 04:23:00,2025-05-01 03:56:52,
76,2025-05-01 22:59:00,2025-05-02 00:15:00,,
77,2025-05-02 02:57:00,2025-05-02 03:33:00,2025-05-02 03:10:06,
78,2025-05-03 23:52:00,2025-05-04 00:16:00,2025-05-03 23:55:08,
79,2025-05-04 16:24:00,2025-05-04 17:22:00,2025-05-04 16:39:15,2025-05-04 17:18:51
80,2025-05-04 08:52:00,2025-05-04 10:20:00,2025-05-04 09:24:52,2025-05-04 09:32:49
81,2025-05-04 06:23:00,2025-05-04 07:08:00,2025-05-04 06:52:33,2025-05-04 07:02:29
82,2025-05-08 10:05:00,2025-05-08 10:32:00,2025-05-08 10:27:23,
83,2025-05-04 21:03:00,2025-05-04 22:11:00,,2025-05-04 21:46:36
84,2025-05-06 14:05:00,2025-05-06 15:23:00,,
85,2025-05-05 05:36:00,2025-05-05 06:12:00,,
86,2025-05-04 16:00:00,2025-05-04 16:57:00,2025-05-04 16:11:23,
87,2025-05-03 09:40:00,2025-05-03 10:56:00,,2025-05-03 10:46:19
88,2025-05-02 06:54:00,2025-05-02 07:43:00,,
89,2025-05-06 20:06:00,2025-05-06 20:59:00,2025-05-06 20:24:38,
90,2025-05-06 01:20:00,2025-05-06 02:26:00,,2025-05-06 02:15:13
91,2025-05-02 09:50:00,2025-05-02 11:13:00,,
92,2025-05-08 12:46:00,2025-05-08 13:20:00,2025-05-08 13:02:46,
93,2025-05-02 08:27:00,2025-05-02 09:24:00,,
94,2025-05-09 15:10:00,2025-05-09 16:01:00,2025-05-09 15:21:36,
95,2025-05-02 11:36:00,2025-05-02 12:28:00,2025-05-02 11:59:28,2025-05-02 12:21:13
96,2025-05-10 17:59:00,2025-05-10 18:24:00,2025-05-10 18:12:16,2025-05-10 18:05:53
97,2025-05-05 15:32:00,2025-05-05 16:33:00,2025-05-05 15:42:32,
98,2025-05-08 16:03:00,2025-05-08 17:11:00,2025-05-08 16:48:51,
99,2025-05-05 05:42:00,2025-05-05 06:24:00,,2025-05-05 06:20:18
100,2025-05-02 09:32:00,2025-05-02 10:58:00,,2025-05-02 09:55:48
101,2025-05-08 14:22:00,2025-05-08 14:42:00,2025-05-08 14:33:40,2025-05-08 14:39:30
102,2025-05-02 16:23:00,2025-05-02 17:34:00,2025-05-02 17:28:29,2025-05-02 16:24:15
103,2025-05-04 07:07:00,2025-05-04 07:40:00,,
104,2025-05-08 16:35:00,2025-05-08 18:03:00,,
105,2025-05-04 03:21:00,2025-05-04 04:19:00,,2025-05-04 04:08:09
106,2025-05-04 16:03:00,2025-05-04 17:00:00,2025-05-04 16:51:17,
107,2025-05-05 05:46:00,2025-05-05 06:22:00,2025-05-05 06:03:43,2025-05-05 06:21:37
108,2025-05-08 09:56:00,2025-05-08 10:22:00,,2025-05-08 10:12:57
109,2025-05-04 14:41:00,2025-05-04 15:37:00,,2025-05-04 14:43:12
110,2025-05-02 06:42:00,2025-05-02 08:09:00,2025-05-02 07:31:32,2025-05-02 07:55:30
111,2025-05-05 06:09:00,2025-05-05 07:22:00,,2025-05-05 07:03:45
112,2025-05-09 00:00:00,2025-05-09 00:55:00,2025-05-09 00:52:59,
113,2025-05-04 05:56:00,2025-05-04 07:20:00,2025-05-04 07:17:21,
114,2025-05-10 13:06:00,2025-05-10 14:17:00,2025-05-10 13:19:34,
115,2025-05-05 05:52:00,2025-05-05 06:56:00,,2025-05-05 06:16:13
116,2025-05-10 18:43:00,2025-05-10 20:13:00,2025-05-10 20:01:19,
117,2025-05-06 08:12:00,2025-05-06 09:00:00,2025-05-06 08:41:54,
118,2025-05-05 21:53:00,2025-05-05 22:50:00,,2025-05-05 22:37:05
119,2025-05-06 15:27:00,2025-05-06 16:11:00,2025-05-06 15:38:47,
120,2025-05-09 20:43:00,2025-05-09 21:05:00,2025-05-09 20:53:03,2025-05-09 21:04:39
121,2025-05-02 14:15:00,2025-05-02 15:17:00,,2025-05-02 15:01:22
122,2025-05-08 11:13:00,2025-05-08 11:36:00,,2025-05-08 11:34:18
123,2025-05-05 11:21:00,2025-05-05 11:52:00,2025-05-05 11:32:54,2025-05-05 11:43:29
124,2025-05-02 20:36:00,2025-05-02 21:43:00,,
125,2025-05-02 21:59:00,2025-05-02 22:44:00,2025-05-02 22:33:17,2025-05-02 22:39:35
126,2025-05-03 17:46:00,2025-05-03 18:51:00,,
127,2025-05-09 06:07:00,2025-05-09 06:38:00,2025-05-09 06:08:43,2025-05-09 06:27:25
128,2025-05-05 15:44:00,2025-05-05 16:51:00,,
129,2025-05-06 08:15:00,2025-05-06 08:43:00,2025-05-06 08:15:34,
130,2025-05-01 14:25:00,2025-05-01 15:13:00,,
131,2025-05-03 15:12:00,2025-05-03 16:22:00,2025-05-03 15:54:18,2025-05-03 16:15:10
132,2025-05-07 16:53:00,2025-05-07 17:57:00,2025-05-07 17:34:08,2025-05-07 17:40:59
133,2025-05-04 06:42:00,2025-05-04 07:19:00,2025-05-04 06:50:46,
134,2025-05-04 06:28:00,2025-05-04 06:54:00,2025-05-04 06:32:38,
135,2025-05-10 22:02:00,2025-05-10 22:42:00,,
136,2025-05-02 04:17:00,2025-05-02 05:42:00,,2025-05-02 05:02:36
137,2025-05-03 14:49:00,2025-05-03 16:04:00,,2025-05-03 14:49:24
138,2025-05-02 20:49:00,2025-05-02 22:03:00,,2025-05-02 21:50:44
139,2025-05-01 12:17:00,2025-05-01 13:06:00,,2025-05-01 12:41:33
140,2025-05-03 21:06:00,2025-05-03 21:31:00,2025-05-03 21:30:54,2025-05-03 21:30:59
141,2025-05-08 19:53:00,2025-05-08 21:15:00,2025-05-08 20:49:47,2025-05-08 21:13:20
142,2025-05-01 15:28:00,2025-05-01 16:50:00,,
143,2025-05-01 12:59:00,2025-05-01 14:11:00,,2025-05-01 13:28:42
144,2025-05-03 07:01:00,2025-05-03 08:03:00,,2025-05-03 07:26:56
145,2025-05-02 16:29:00,2025-05-02 17:01:00,2025-05-02 16:40:14,2025-05-02 16:55:10
146,2025-05-09 00:58:00,2025-05-09 01:58:00,2025-05-09 01:35:32,2025-05-09 01:56:43
147,2025-05-09 10:16:00,2025-05-09 10:42:00,,
148,2025-05-08 15:27:00,2025-05-08 16:39:00,,2025-05-08 16:19:43
149,2025-05-06 22:47:00,2025-05-06 23:50:00,2025-05-06 23:42:37,2025-05-06 23:46:44
150,2025-05-07 15:29:00,2025-05-07 16:36:00,2025-05-07 16:14:15,2025-05-07 15:32:48
151,2025-05-09 05:07:00,2025-05-09 06:34:00,2025-05-09 05:47:38,2025-05-09 06:02:45
152,2025-05-07 08:03:00,2025-05-07 08:49:00,,2025-05-07 08:22:18
153,2025-05-06 07:41:00,2025-05-06 08:25:00,,
154,2025-05-10 02:23:00,2025-05-10 02:52:00,2025-05-10 02:50:56,2025-05-10 02:51:32
155,2025-05-09 05:32:00,2025-05-09 06:25:00,2025-05-09 06:10:43,
156,2025-05-07 11:21:00,2025-05-07 12:21:00,,2025-05-07 12:13:34
157,2025-05-01 05:28:00,2025-05-01 06:48:00,2025-05-01 05:55:56,2025-05-01 06:32:19
158,2025-05-05 17:38:00,2025-05-05 18:22:00,,2025-05-05 18:10:20
159,2025-05-01 10:27:00,2025-05-01 11:40:00,,
160,2025-05-08 04:58:00,2025-05-08 05:42:00,2025-05-08 05:23:50,2025-05-08 05:29:10
161,2025-05-02 21:00:00,2025-05-02 21:36:00,2025-05-02 21:04:12,2025-05-02 21:18:44
162,2025-05-09 16:30:00,2025-05-09 17:08:00,,2025-05-09 16:37:41
163,2025-05-03 01:32:00,2025-05-03 02:16:00,2025-05-03 01:51:26,2025-05-03 02:07:20
164,2025-05-05 02:37:00,2025-05-05 04:07:00,,
165,2025-05-04 16:47:00,2025-05-04 17:26:00,2025-05-04 17:24:18,2025-05-04 17:25:03
166,2025-05-09 01:07:00,2025-05-09 01:31:00,,2025-05-09 01:16:09
167,2025-05-03 00:16:00,2025-05-03 01:12:00,2025-05-03 00:33:05,
168,2025-05-10 07:57:00,2025-05-10 08:38:00,,2025-05-10 08:32:51
169,2025-05-01 16:50:00,2025-05-01 17:31:00,2025-05-01 17:29:14,2025-05-01 17:29:22
170,2025-05-04 05:13:00,2025-05-04 05:50:00,2025-05-04 05:14:42,
171,2025-05-03 08:09:00,2025-05-03 08:58:00,2025-05-03 08:14:11,
172,2025-05-08 23:27:00,2025-05-08 23:49:00,,2025-05-08 23:38:10
173,2025-05-02 18:17:00,2025-05-02 19:30:00,,
174,2025-05-04 08:30:00,2025-05-04 09:22:00,,2025-05-04 08:36:39
175,2025-05-05 17:21:00,2025-05-05 18:20:00,2025-05-05 17:57:33,2025-05-05 18:06:44
176,2025-05-04 20:39:00,2025-05-04 22:09:00,,2025-05-04 21:09:18
177,2025-05-08 15:11:00,2025-05-08 16:25:00,2025-05-08 16:21:17,2025-05-08 15:11:58
178,2025-05-04 02:44:00,2025-05-04 03:18:00,2025-05-04 02:49:12,2025-05-04 02:48:27
179,2025-05-10 15:59:00,2025-05-10 16:30:00,2025-05-10 16:13:57,2025-05-10 16:18:16
180,2025-05-04 16:09:00,2025-05-04 17:27:00,2025-05-04 17:20:00,
181,2025-05-06 14:55:00,2025-05-06 16:12:00,,
182,2025-05-01 09:25:00,2025-05-01 10:55:00,,2025-05-01 09:54:14
183,2025-05-08 17:32:00,2025-05-08 19:02:00,2025-05-08 18:21:40,
184,2025-05-05 07:02:00,2025-05-05 07:22:00,,
185,2025-05-01 08:56:00,2025-05-01 10:17:00,2025-05-01 09:08:14,
186,2025-05-05 16:16:00,2025-05-05 16:44:00,2025-05-05 16:24:32,
187,2025-05-05 12:40:00,2025-05-05 13:20:00,2025-05-05 12:48:23,
188,2025-05-05 14:07:00,2025-05-05 15:04:00,2025-05-05 14:08:45,2025-05-05 14:44:35
189,2025-05-03 00:18:00,2025-05-03 01:14:00,2025-05-03 01:11:35,
190,2025-05-01 17:09:00,2025-05-01 17:43:00,2025-05-01 17:20:58,2025-05-01 17:29:34
191,2025-05-01 10:07:00,2025-05-01 10:33:00,,2025-05-01 10:21:31
192,2025-05-02 09:12:00,2025-05-02 09:57:00,2025-05-02 09:41:28,
193,2025-05-02 09:37:00,2025-05-02 10:37:00,,
194,2025-05-08 13:30:00,2025-05-08 14:16:00,,2025-05-08 14:09:02
195,2025-05-02 15:10:00,2025-05-02 16:39:00,,
196,2025-05-10 13:43:00,2025-05-10 14:40:00,,2025-05-10 14:20:15
197,2025-05-06 14:37:00,2025-05-06 15:39:00,2025-05-06 15:15:08,
198,2025-05-01 16:46:00,2025-05-01 17:58:00,,2025-05-01 17:14:38
199,2025-05-02 21:25:00,2025-05-02 22:32:00,,
200,2025-05-08 15:36:00,2025-05-08 16:02:00,2025-05-08 15:59:50,2025-05-08 16:00:30
201,2025-05-02 06:23:00,2025-05-02 06:43:00,,2025-05-02 06:33:00
202,2025-05-10 10:53:00,2025-05-10 12:13:00,,
203,2025-05-02 22:12:00,2025-05-02 22:32:00,,2025-05-02 22:13:08
204,2025-05-03 21:08:00,2025-05-03 21:33:00,,
205,2025-05-09 07:39:00,2025-05-09 08:42:00,2025-05-09 08:25:58,
206,2025-05-06 16:43:00,2025-05-06 18:09:00,2025-05-06 18:03:57,2025-05-06 17:58:18
207,2025-05-05 05:51:00,2025-05-05 06:19:00,,2025-05-05 06:00:13
208,2025-05-05 20:39:00,2025-05-05 21:20:00,2025-05-05 21:02:14,2025-05-05 21:06:15
209,2025-05-08 05:55:00,2025-05-08 06:24:00,,
210,2025-05-08 13:33:00,2025-05-08 13:58:00,2025-05-08 13:50:03,
211,2025-05-10 18:18:00,2025-05-10 19:08:00,2025-05-10 18:19:29,
212,2025-05-01 03:04:00,2025-05-01 03:47:00,,2025-05-01 03:29:22
213,2025-05-04 20:55:00,2025-05-04 21:33:00,,
214,2025-05-01 20:33:00,2025-05-01 21:02:00,2025-05-01 20:34:19,2025-05-01 20:59:08
215,2025-05-03 00:26:00,2025-05-03 00:46:00,,
216,2025-05-10 05:55:00,2025-05-10 06:49:00,2025-05-10 06:16:18,
217,2025-05-09 00:08:00,2025-05-09 00:45:00,,2025-05-09 00:14:23
218,2025-05-04 05:32:00,2025-05-04 06:07:00,2025-05-04 05:46:24,
219,2025-05-04 08:46:00,2025-05-04 10:07:00,2025-05-04 09:58:22,
220,2025-05-01 08:00:00,2025-05-01 08:28:00,2025-05-01 08:17:50,2025-05-01 08:23:28
221,2025-05-04 12:23:00,2025-05-04 13:42:00,2025-05-04 12:51:24,2025-05-04 13:12:35
222,2025-05-03 04:31:00,2025-05-03 05:22:00,2025-05-03 05:17:35,
223,2025-05-04 14:32:00,2025-05-04 14:54:00,2025-05-04 14:49:41,
224,2025-05-07 02:12:00,2025-05-07 03:31:00,2025-05-07 03:02:37,2025-05-07 03:08:31
225,2025-05-04 20:23:00,2025-05-04 20:45:00,2025-05-04 20:30:59,
226,2025-05-10 11:00:00,2025-05-10 11:33:00,,
227,2025-05-07 06:31:00,2025-05-07 07:19:00,,2025-05-07 07:12:14
228,2025-05-04 20:38:00,2025-05-04 21:39:00,2025-05-04 21:12:21,
229,2025-05-05 10:01:00,2025-05-05 10:22:00,,2025-05-05 10:17:46
